Location,Cases,Deaths,Recov
British Virgin Islands,284,1,282
Brunei,240,3,228
Dominica,188,0,172
Northern Mariana Islands,183,2,32
Grenada,160,1,158
Costa Atlantica,148,0,148
Greg Mortimer,128,1,No data
New Caledonia,128,0,30
Anguilla,109,0,109
Saint Kitts and Nevis,68,0,45
Falkland Islands,63,0,63
Antarctica,58,0,0
Macau,51,0,49
Greenland,37,0,33
Vatican City,29,0,27
Saint Pierre and Miquelon,25,0,25
Montserrat,20,1,18
Sint Eustatius,20,0,20
Solomon Islands,20,0,18
MS Zaandam[ba],13,4,No data
Coral Princess[bb],12,3,No data
SeaDream I[bc],9,0,No data
HNLMS Dolfijn[bd],8,0,8
Saba,7,0,7
"Saint Helena, Ascension and Tristan da Cunha",7,0,7
British Indian Ocean Territory,5,0,2
Marshall Islands,4,0,4
American Samoa,4,0,3
Samoa,4,0,2
Vanuatu,3,0,3
Kiribati,2,0,0
Federated States of Micronesia,1,0,1
Tanzania[be],No data,No data,No data
